,小说名,作者名,作者主页,字数,最新章节,更新时间,小说链接,热度,类别
14,吞天造化经,鬼疯子,https://www.qimao.com/zuozhe/%E9%AC%BC%E7%96%AF%E5%AD%90_14/,306.07万字,第1356章  活下去的机会，抵达渡口,2023-05-31 00:51:13,https://www.qimao.com/shuku/215874/,32.4万,玄幻奇幻/东方玄幻
15,极品戒指,淮阴小侯,https://www.qimao.com/zuozhe/%E6%B7%AE%E9%98%B4%E5%B0%8F%E4%BE%AF_14/,530.5万字,第2587章  恢复记忆（终章）,2023-03-04 10:24:20,https://www.qimao.com/shuku/151584/,32.0万,都市人生/异术超能
16,我有七个无敌师父,小骨,https://www.qimao.com/zuozhe/%E5%B0%8F%E9%AA%A8_14/,280.21万字,第1082章  宇宙之外（大结局）,2023-01-21 23:50:08,https://www.qimao.com/shuku/211057/,30.1万,都市人生/都市高手
17,高手下山祸害九位女弟子,枫如江画,https://www.qimao.com/zuozhe/%E6%9E%AB%E5%A6%82%E6%B1%9F%E7%94%BB_14/,154.38万字,第722章  胸小腿短唐巧巧！,2023-05-31 09:26:06,https://www.qimao.com/shuku/1669265/,27.1万,都市人生/都市修仙
18,狂龙出渊,秦江吟,https://www.qimao.com/zuozhe/%E7%A7%A6%E6%B1%9F%E5%90%9F_14/,133.31万字,第607章  关系加深,2023-05-31 10:29:05,https://www.qimao.com/shuku/1669210/,26.5万,都市人生/都市高手
19,太古神族,子莫谦,https://www.qimao.com/zuozhe/%E5%AD%90%E8%8E%AB%E8%B0%A6_14/,230.17万字,第1084章  屠龙勇士楚正愁,2023-05-31 18:22:09,https://www.qimao.com/shuku/215163/,26.4万,玄幻奇幻/东方玄幻
20,盖世圣医,林阳,https://www.qimao.com/zuozhe/%E6%9E%97%E9%98%B3_14/,140.41万字,第865章  疯狂求饶,2023-05-31 10:29:07,https://www.qimao.com/shuku/1651341/,25.9万,都市人生/都市高手
21,全球灾变之末日游戏,我爱吃猫片,https://www.qimao.com/zuozhe/%E6%88%91%E7%88%B1%E5%90%83%E7%8C%AB%E7%89%87_14/,324.36万字,第1428章  吃掉希望,2023-05-31 09:35:13,https://www.qimao.com/shuku/219542/,25.4万,科幻/末世危机
22,狂龙归来,易大师,https://www.qimao.com/zuozhe/%E6%98%93%E5%A4%A7%E5%B8%88_14/,241.53万字,第1106章  他不太懂技术,2023-05-31 22:43:10,https://www.qimao.com/shuku/1647930/,24.7万,都市人生/都市高手
23,绝世醒龙,梁山老鬼,https://www.qimao.com/zuozhe/%E6%A2%81%E5%B1%B1%E8%80%81%E9%AC%BC_14/,210.2万字,第974章  吊打,2023-05-31 07:40:08,https://www.qimao.com/shuku/1655987/,23.6万,都市人生/都市高手
24,吞天圣帝,枫落忆痕,https://www.qimao.com/zuozhe/%E6%9E%AB%E8%90%BD%E5%BF%86%E7%97%95_14/,669.66万字,第1875章  中了你的毒,2023-05-31 00:56:20,https://www.qimao.com/shuku/208594/,23.2万,玄幻奇幻/东方玄幻
25,我的绝色女邻居,渡厄,https://www.qimao.com/zuozhe/%E6%B8%A1%E5%8E%84_14/,240.97万字,第1198章  主宰，恐惧笼罩众人！,2023-05-31 21:47:10,https://www.qimao.com/shuku/221894/,22.3万,都市人生/都市高手
26,九狼图,纯银耳坠,https://www.qimao.com/zuozhe/%E7%BA%AF%E9%93%B6%E8%80%B3%E5%9D%A0_14/,548.31万字,第1802章  天狮城欢乐谷,2023-05-31 20:01:20,https://www.qimao.com/shuku/216055/,21.7万,科幻/末世危机
27,狂龙弃少,十指炫舞,https://www.qimao.com/zuozhe/%E5%8D%81%E6%8C%87%E7%82%AB%E8%88%9E_14/,447.39万字,第1499章  我对你没有感情,2023-05-31 18:11:22,https://www.qimao.com/shuku/214505/,21.6万,都市人生/都市高手
28,九转星辰诀,晨弈,https://www.qimao.com/zuozhe/%E6%99%A8%E5%BC%88_14/,654.66万字,第2933章  消息泄露，孽镜地狱寻宝！,2023-05-31 19:41:22,https://www.qimao.com/shuku/202636/,21.5万,玄幻奇幻/东方玄幻
29,超凡医婿,古剑山,https://www.qimao.com/zuozhe/%E5%8F%A4%E5%89%91%E5%B1%B1_14/,195.1万字,第911章  追赶霍元英,2023-05-31 21:11:09,https://www.qimao.com/shuku/220828/,20.8万,都市人生/都市高手
30,九转吞天诀,萧逆天,https://www.qimao.com/zuozhe/%E8%90%A7%E9%80%86%E5%A4%A9_14/,159.56万字,第723章  群体压制修为，神秘之地,2023-05-31 00:40:09,https://www.qimao.com/shuku/1647094/,20.6万,玄幻奇幻/东方玄幻
31,万古第一剑,千年老龟,https://www.qimao.com/zuozhe/%E5%8D%83%E5%B9%B4%E8%80%81%E9%BE%9F_14/,148.48万字,第562章  皇境之下第一人！,2023-05-31 22:41:13,https://www.qimao.com/shuku/1648172/,19.5万,玄幻奇幻/东方玄幻
32,万古龙帝,拓跋流云,https://www.qimao.com/zuozhe/%E6%8B%93%E8%B7%8B%E6%B5%81%E4%BA%91_14/,864.1万字,第2220章  窃天者，太易！,2023-05-31 23:07:28,https://www.qimao.com/shuku/210771/,19.0万,玄幻奇幻/东方玄幻
33,乡村如此多娇,伙夫,https://www.qimao.com/zuozhe/%E4%BC%99%E5%A4%AB_14/,102.68万字,第507章  我是商人,2023-05-31 09:11:17,https://www.qimao.com/shuku/1675676/,18.9万,都市人生/乡村生活
34,葬天神帝,我爱弹棉花,https://www.qimao.com/zuozhe/%E6%88%91%E7%88%B1%E5%BC%B9%E6%A3%89%E8%8A%B1_14/,231.44万字,第1005章  测试神通！,2023-05-31 11:51:08,https://www.qimao.com/shuku/213697/,18.7万,玄幻奇幻/东方玄幻
35,剑镇诸天,沐潇三生,https://www.qimao.com/zuozhe/%E6%B2%90%E6%BD%87%E4%B8%89%E7%94%9F_14/,218.83万字,第1021章  大结局,2023-01-17 23:49:09,https://www.qimao.com/shuku/214501/,18.1万,玄幻奇幻/东方玄幻
36,叶天神,水门绅士,https://www.qimao.com/zuozhe/%E6%B0%B4%E9%97%A8%E7%BB%85%E5%A3%AB_14/,527.97万字,第2349章  龙君临之强大！,2023-05-31 23:58:21,https://www.qimao.com/shuku/201492/,18.0万,都市人生/都市高手
37,臭保镖，求你放过我们吧！,流水不逝,https://www.qimao.com/zuozhe/%E6%B5%81%E6%B0%B4%E4%B8%8D%E9%80%9D_14/,123.32万字,第593章  擂台之战,2023-05-31 00:02:11,https://www.qimao.com/shuku/219660/,17.8万,都市人生/都市高手
38,九剑杀神,王小帅,https://www.qimao.com/zuozhe/%E7%8E%8B%E5%B0%8F%E5%B8%85_14/,342.69万字,第1330章  混沌来历，铜头登顶！（三更求票）,2023-05-31 17:12:16,https://www.qimao.com/shuku/219663/,17.8万,玄幻奇幻/东方玄幻
39,网游开局合成顶级神装,今晚吃鸡,https://www.qimao.com/zuozhe/%E4%BB%8A%E6%99%9A%E5%90%83%E9%B8%A1_14/,162.56万字,第717章  拯救计划,2023-05-31 00:45:07,https://www.qimao.com/shuku/1650862/,17.7万,游戏/虚拟网游
40,超神玩家,失落叶,https://www.qimao.com/zuozhe/%E5%A4%B1%E8%90%BD%E5%8F%B6_14/,26.64万字,第83章  巨人王指环,2023-05-31 12:01:15,https://www.qimao.com/shuku/1693832/,17.2万,游戏/虚拟网游
41,一世狂枭,黑灯虾火,https://www.qimao.com/zuozhe/%E9%BB%91%E7%81%AF%E8%99%BE%E7%81%AB_14/,157.57万字,第695章  请前辈帮一个忙！,2023-05-31 18:01:07,https://www.qimao.com/shuku/1654572/,17.2万,都市人生/都市高手
42,绝世猛龙,左妻右妾,https://www.qimao.com/zuozhe/%E5%B7%A6%E5%A6%BB%E5%8F%B3%E5%A6%BE_14/,183.17万字,第712章  必须杀鸡儆猴,2023-05-31 20:47:08,https://www.qimao.com/shuku/1650522/,16.6万,都市人生/都市高手
43,我有神级收益系统,不是蚊子,https://www.qimao.com/zuozhe/%E4%B8%8D%E6%98%AF%E8%9A%8A%E5%AD%90_14/,274.88万字,第1234章  大结局,2023-05-10 07:08:29,https://www.qimao.com/shuku/222157/,16.6万,都市人生/热血校园
44,护花神医,谦谦二君子,https://www.qimao.com/zuozhe/%E8%B0%A6%E8%B0%A6%E4%BA%8C%E5%90%9B%E5%AD%90_14/,516.89万字,第2479章  结局撒花,2023-01-02 00:49:19,https://www.qimao.com/shuku/208599/,16.4万,都市人生/异术超能
45,天道至尊,笑笑书生,https://www.qimao.com/zuozhe/%E7%AC%91%E7%AC%91%E4%B9%A6%E7%94%9F_14/,214.21万字,第1017章  以彼之道还施彼身,2023-05-31 20:50:08,https://www.qimao.com/shuku/211529/,15.8万,玄幻奇幻/东方玄幻
46,我家师姐都宠我,色即舍,https://www.qimao.com/zuozhe/%E8%89%B2%E5%8D%B3%E8%88%8D_14/,103.19万字,第468章  好的，孙子！,2023-05-31 22:31:06,https://www.qimao.com/shuku/1672965/,15.7万,都市人生/都市高手
47,至尊剑帝,一丝凉意,https://www.qimao.com/zuozhe/%E4%B8%80%E4%B8%9D%E5%87%89%E6%84%8F_14/,509.91万字,第2324章  李枸耽,2023-05-31 22:36:17,https://www.qimao.com/shuku/215157/,15.6万,玄幻奇幻/东方玄幻
48,民间诡闻实录,罗樵森,https://www.qimao.com/zuozhe/%E7%BD%97%E6%A8%B5%E6%A3%AE_14/,243.49万字,第1179章  或许我可以给你答案（全书完）,2021-10-12 11:14:06,https://www.qimao.com/shuku/197091/,15.4万,奇闻异事/奇门秘术
49,一剑神魔,霸业,https://www.qimao.com/zuozhe/%E9%9C%B8%E4%B8%9A_14/,160.42万字,第703章  遇云姬,2023-05-31 21:00:07,https://www.qimao.com/shuku/1651330/,15.2万,玄幻奇幻/东方玄幻
50,神级进化动物杀手团,九把火,https://www.qimao.com/zuozhe/%E4%B9%9D%E6%8A%8A%E7%81%AB_14/,172.26万字,"第772章  一声兄弟,一生兄弟",2022-04-13 16:05:06,https://www.qimao.com/shuku/208895/,14.9万,玄幻奇幻/东方玄幻
51,重返90从捡个老婆开始,家巧,https://www.qimao.com/zuozhe/%E5%AE%B6%E5%B7%A7_14/,288.55万字,第1301章  华夏首富！,2023-05-31 01:01:16,https://www.qimao.com/shuku/210427/,14.7万,都市人生/商战职场
52,绝世龙帅,周氏天下33,https://www.qimao.com/zuozhe/%E5%91%A8%E6%B0%8F%E5%A4%A9%E4%B8%8B33_14/,111.89万字,第548章  冥王分神,2023-05-31 09:31:07,https://www.qimao.com/shuku/1671817/,14.4万,都市人生/都市高手
53,都市风流相医,一念,https://www.qimao.com/zuozhe/%E4%B8%80%E5%BF%B5_14/,65.61万字,第318章  你运气不好,2023-05-31 21:04:04,https://www.qimao.com/shuku/1674154/,14.3万,都市人生/都市高手
54,美女，快治我,忧之,https://www.qimao.com/zuozhe/%E5%BF%A7%E4%B9%8B_14/,131.1万字,第522章  楚临渊的算计,2023-05-31 21:39:05,https://www.qimao.com/shuku/1666970/,13.9万,都市人生/都市高手
55,我的养成系女友,佛系和尚,https://www.qimao.com/zuozhe/%E4%BD%9B%E7%B3%BB%E5%92%8C%E5%B0%9A_14/,67.5万字,第268章  别逼我扇你！,2023-05-31 07:40:02,https://www.qimao.com/shuku/1670199/,13.9万,都市人生/异术超能
56,我和软萌女友的恋爱日常,佛系和尚,https://www.qimao.com/zuozhe/%E4%BD%9B%E7%B3%BB%E5%92%8C%E5%B0%9A_14/,300.31万字,第1338章  完结感言,2023-02-18 08:11:26,https://www.qimao.com/shuku/214789/,13.8万,都市人生/热血校园
57,冰山总裁的贴身高手,戏语涵风,https://www.qimao.com/zuozhe/%E6%88%8F%E8%AF%AD%E6%B6%B5%E9%A3%8E_14/,194.56万字,第927章  以身做饵！,2023-05-31 00:57:14,https://www.qimao.com/shuku/220822/,13.5万,都市人生/都市高手
58,中文十级的我异界无敌,心弦轻弹,https://www.qimao.com/zuozhe/%E5%BF%83%E5%BC%A6%E8%BD%BB%E5%BC%B9_14/,101.01万字,第405章  太古仙尊【完结章】,2021-09-09 22:22:02,https://www.qimao.com/shuku/206350/,13.3万,玄幻奇幻/异界大陆
59,我的霸道美女房东,明朝无酒,https://www.qimao.com/zuozhe/%E6%98%8E%E6%9C%9D%E6%97%A0%E9%85%92_14/,200.84万字,第901章  发生了什么？,2023-05-31 20:56:09,https://www.qimao.com/shuku/1648170/,13.3万,都市人生/都市高手
60,混沌天尊,新闻工作者,https://www.qimao.com/zuozhe/%E6%96%B0%E9%97%BB%E5%B7%A5%E4%BD%9C%E8%80%85_14/,558.02万字,第2324章  他不会看上了我们了吧？,2023-05-31 18:10:26,https://www.qimao.com/shuku/214890/,13.3万,玄幻奇幻/东方玄幻
61,都市之最强仙医,夫子,https://www.qimao.com/zuozhe/%E5%A4%AB%E5%AD%90_14/,428.56万字,第2083章  得到回应,2023-05-31 10:26:16,https://www.qimao.com/shuku/210772/,13.3万,都市人生/都市修仙
62,神医下山之从退婚开始,钟爱花花,https://www.qimao.com/zuozhe/%E9%92%9F%E7%88%B1%E8%8A%B1%E8%8A%B1_14/,143.52万字,第690章  调虎离山！,2023-05-30 22:29:08,https://www.qimao.com/shuku/219809/,12.3万,都市人生/都市高手
63,潜龙出狱,许输年,https://www.qimao.com/zuozhe/%E8%AE%B8%E8%BE%93%E5%B9%B4_14/,174.78万字,第770章  赤龙破金象,2023-05-31 09:15:07,https://www.qimao.com/shuku/1650593/,12.2万,都市人生/都市高手
64,师父忽悠我下山祸害师姐,妖人浮屠,https://www.qimao.com/zuozhe/%E5%A6%96%E4%BA%BA%E6%B5%AE%E5%B1%A0_14/,108.6万字,第499章  有其父必有其子,2023-05-31 17:14:06,https://www.qimao.com/shuku/1669267/,12.1万,都市人生/都市高手
65,徒儿，下山去祸害你师姐吧,万里清桂,https://www.qimao.com/zuozhe/%E4%B8%87%E9%87%8C%E6%B8%85%E6%A1%82_14/,88.65万字,第434章  揭露贵族的真相,2023-05-31 20:41:07,https://www.qimao.com/shuku/1673930/,11.7万,都市人生/都市高手
66,逍遥天医,叶妖,https://www.qimao.com/zuozhe/%E5%8F%B6%E5%A6%96_14/,201.14万字,第880章  真相,2023-05-31 01:25:08,https://www.qimao.com/shuku/1645700/,11.3万,都市人生/都市高手
67,吞天剑帝,良钰,https://www.qimao.com/zuozhe/%E8%89%AF%E9%92%B0_14/,271.86万字,第1062章  冰皇宗强者,2023-05-31 16:01:09,https://www.qimao.com/shuku/213856/,11.3万,玄幻奇幻/东方玄幻
68,终极一剑,逍遥自在,https://www.qimao.com/zuozhe/%E9%80%8D%E9%81%A5%E8%87%AA%E5%9C%A8_14/,107.66万字,第524章  万域大比冠军,2023-05-31 20:01:16,https://www.qimao.com/shuku/1667835/,11.3万,玄幻奇幻/东方玄幻
69,大秦摄政王,风姓天幽,https://www.qimao.com/zuozhe/%E9%A3%8E%E5%A7%93%E5%A4%A9%E5%B9%BD_14/,93.95万字,第462章  赵术的分析，李斯与郑国意见相左。,2023-05-31 00:39:04,https://www.qimao.com/shuku/1655668/,11.1万,历史/穿越历史
70,大夏天子,土豆吃番茄,https://www.qimao.com/zuozhe/%E5%9C%9F%E8%B1%86%E5%90%83%E7%95%AA%E8%8C%84_14/,144.15万字,第629章  巨人竟然是！,2023-05-31 16:30:05,https://www.qimao.com/shuku/1648043/,11.0万,历史/穿越历史
71,猛龙天医,胡哨,https://www.qimao.com/zuozhe/%E8%83%A1%E5%93%A8_14/,158.85万字,第763章  药引，血族之血！,2023-05-31 06:11:14,https://www.qimao.com/shuku/1661208/,11.0万,都市人生/异术超能
72,重生2002：从拆迁开始发家致富,菠萝炒饭,https://www.qimao.com/zuozhe/%E8%8F%A0%E8%90%9D%E7%82%92%E9%A5%AD_14/,156.2万字,第723章  走，现在就去！,2023-05-31 20:47:06,https://www.qimao.com/shuku/1669214/,10.6万,都市人生/商战职场
73,都市医道高手,一念,https://www.qimao.com/zuozhe/%E4%B8%80%E5%BF%B5_14/,430.28万字,第2064章  终章 共白首,2023-04-23 20:35:14,https://www.qimao.com/shuku/207088/,10.4万,都市人生/异术超能
74,我能采集万物,存叶,https://www.qimao.com/zuozhe/%E5%AD%98%E5%8F%B6_14/,321.06万字,第1270章  还差一些火候,2023-05-30 23:31:12,https://www.qimao.com/shuku/209898/,10.4万,科幻/末世危机
75,上门龙婿,鸿兴哒哒,https://www.qimao.com/zuozhe/%E9%B8%BF%E5%85%B4%E5%93%92%E5%93%92_14/,529.08万字,第2737章  平淡的美好（大结局）！,2023-01-02 02:04:22,https://www.qimao.com/shuku/151369/,10.4万,都市人生/商战职场
76,吞噬魔帝,梦醒泪殇,https://www.qimao.com/zuozhe/%E6%A2%A6%E9%86%92%E6%B3%AA%E6%AE%87_14/,222.21万字,第1088章  托付,2023-05-31 07:48:08,https://www.qimao.com/shuku/1654603/,10.4万,玄幻奇幻/东方玄幻
77,神龙出狱,萧天策,https://www.qimao.com/zuozhe/%E8%90%A7%E5%A4%A9%E7%AD%96_14/,91.03万字,第411章  恢复实力的方法？,2023-05-30 23:53:07,https://www.qimao.com/shuku/1668697/,10.2万,都市人生/都市高手
78,都市医圣仙王,是夜雨呀,https://www.qimao.com/zuozhe/%E6%98%AF%E5%A4%9C%E9%9B%A8%E5%91%80_14/,100.09万字,第488章  掌控大权？,2023-05-31 00:27:04,https://www.qimao.com/shuku/1666898/,10.1万,都市人生/都市修仙
79,都市风流仙医,丹青,https://www.qimao.com/zuozhe/%E4%B8%B9%E9%9D%92_14/,138.23万字,第617章  手段尽出,2023-05-31 20:52:07,https://www.qimao.com/shuku/1654234/,9.8万,都市人生/都市修仙
80,我的师傅是妖女,上殿,https://www.qimao.com/zuozhe/%E4%B8%8A%E6%AE%BF_14/,287.38万字,第1336章  大结局,2023-01-13 22:57:11,https://www.qimao.com/shuku/207963/,9.7万,都市人生/都市修仙
81,盛世枭雄,清风明月,https://www.qimao.com/zuozhe/%E6%B8%85%E9%A3%8E%E6%98%8E%E6%9C%88_14/,93.19万字,第450章  安顿,2023-05-31 00:03:15,https://www.qimao.com/shuku/1669373/,9.6万,历史/架空历史
82,绝世医仙,亦无双,https://www.qimao.com/zuozhe/%E4%BA%A6%E6%97%A0%E5%8F%8C_14/,148.95万字,第631章  飞雪很鸡贼,2023-05-31 12:05:10,https://www.qimao.com/shuku/1658959/,9.6万,都市人生/异术超能
83,九转修罗诀,李中有梦,https://www.qimao.com/zuozhe/%E6%9D%8E%E4%B8%AD%E6%9C%89%E6%A2%A6_14/,455.68万字,第1881章  肉身，不朽！,2023-05-30 21:44:15,https://www.qimao.com/shuku/215067/,9.6万,玄幻奇幻/东方玄幻
84,高手下山之我真不想祸害师妹们,残依水,https://www.qimao.com/zuozhe/%E6%AE%8B%E4%BE%9D%E6%B0%B4_14/,158.21万字,第428章  真正的天才！,2023-05-31 22:33:04,https://www.qimao.com/shuku/1669209/,9.5万,都市人生/都市高手
85,网游：挂机百万年，我醒来成神,亦晨,https://www.qimao.com/zuozhe/%E4%BA%A6%E6%99%A8_14/,56.5万字,第229章  通晓怪物语言的樱桃！,2023-05-31 21:47:03,https://www.qimao.com/shuku/1680650/,9.4万,游戏/游戏异界
86,官场：宦海绯途,东流无歇,https://www.qimao.com/zuozhe/%E4%B8%9C%E6%B5%81%E6%97%A0%E6%AD%87_14/,34.89万字,第160章  女警方子怡,2023-05-31 22:43:03,https://www.qimao.com/shuku/1687938/,9.3万,都市人生/商战职场
87,老婆闺蜜赖上我,淘米仙人,https://www.qimao.com/zuozhe/%E6%B7%98%E7%B1%B3%E4%BB%99%E4%BA%BA_14/,158.99万字,第737章  再入宗元城,2023-05-30 23:41:08,https://www.qimao.com/shuku/1654238/,9.3万,都市人生/都市高手
88,网游之奶里有毒,白首不相离,https://www.qimao.com/zuozhe/%E7%99%BD%E9%A6%96%E4%B8%8D%E7%9B%B8%E7%A6%BB_14/,176.56万字,第690章  神秘玩家【水仙】！,2023-05-31 14:31:06,https://www.qimao.com/shuku/1658041/,9.2万,游戏/虚拟网游
89,凌天独尊,有木,https://www.qimao.com/zuozhe/%E6%9C%89%E6%9C%A8_14/,593.75万字,第2858章  铁片,2023-05-31 23:26:24,https://www.qimao.com/shuku/195409/,9.2万,玄幻奇幻/东方玄幻
90,镇天殿,争渡,https://www.qimao.com/zuozhe/%E4%BA%89%E6%B8%A1_14/,121.33万字,第558章  空前的团结,2023-05-31 22:33:05,https://www.qimao.com/shuku/1657025/,9.2万,都市人生/都市高手
91,万古剑尊,青鸾战歌,https://www.qimao.com/zuozhe/%E9%9D%92%E9%B8%BE%E6%88%98%E6%AD%8C_14/,421.15万字,第1512章  大家拼的都是底蕴！顺你者昌，逆你者亡！,2023-05-31 09:38:12,https://www.qimao.com/shuku/216672/,9.0万,玄幻奇幻/东方玄幻
92,最强学霸系统,佛系和尚,https://www.qimao.com/zuozhe/%E4%BD%9B%E7%B3%BB%E5%92%8C%E5%B0%9A_14/,372.74万字,第1714章  完结感言,2022-07-10 20:11:13,https://www.qimao.com/shuku/152973/,9.0万,都市人生/热血校园
93,逍遥医仙,七星龙人,https://www.qimao.com/zuozhe/%E4%B8%83%E6%98%9F%E9%BE%99%E4%BA%BA_14/,65.43万字,第317章  每天都要突破,2023-05-31 08:24:03,https://www.qimao.com/shuku/1674867/,8.8万,都市人生/乡村生活
94,无极神医,生产队的驴,https://www.qimao.com/zuozhe/%E7%94%9F%E4%BA%A7%E9%98%9F%E7%9A%84%E9%A9%B4_14/,267.81万字,第1308章  七分归元气大成,2023-05-31 18:06:10,https://www.qimao.com/shuku/222026/,8.8万,都市人生/都市高手
95,控卫凶猛,流浪沙鸥,https://www.qimao.com/zuozhe/%E6%B5%81%E6%B5%AA%E6%B2%99%E9%B8%A5_14/,229.77万字,第598章  无非是煎蛋还是水煮蛋的区别,2023-05-31 17:12:23,https://www.qimao.com/shuku/219883/,8.4万,体育/篮球风云
96,山野诡闻笔记,吴大胆,https://www.qimao.com/zuozhe/%E5%90%B4%E5%A4%A7%E8%83%86_14/,184.72万字,第720章  立处生虫,2023-05-31 00:59:06,https://www.qimao.com/shuku/214783/,8.3万,奇闻异事/奇门秘术
97,不败战神,必焱,https://www.qimao.com/zuozhe/%E5%BF%85%E7%84%B1_14/,395.97万字,第1970章  那片星空！,2022-11-22 17:51:16,https://www.qimao.com/shuku/149774/,8.0万,都市人生/都市高手
98,重回1991,南三石,https://www.qimao.com/zuozhe/%E5%8D%97%E4%B8%89%E7%9F%B3_14/,502.39万字,第2474章  各种搞事情,2023-05-31 07:21:18,https://www.qimao.com/shuku/209888/,8.0万,都市人生/商战职场
99,都市第一剑仙,猪爬树,https://www.qimao.com/zuozhe/%E7%8C%AA%E7%88%AC%E6%A0%91_14/,269.71万字,第1265章  让子弹飞一会,2023-05-29 21:13:15,https://www.qimao.com/shuku/210833/,7.9万,都市人生/都市修仙
